Libellé;Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de machines agricoles et forestières (NAF rév. 2, niveau groupe, poste 28.3)
idBank;10768110
Mises à jour;06/05/2025 08:45
Période;
2025-03;69.22
2025-02;72.33
2025-01;67.71
2024-12;76.65
2024-11;85.42
2024-10;71.72
2024-09;75.52
2024-08;83.25
2024-07;76.1
2024-06;71.42
2024-05;79.92
2024-04;89.19
2024-03;85.51
2024-02;104.6
2024-01;99.56
2023-12;99.05
2023-11;109.67
2023-10;111.66
2023-09;108.29
2023-08;111.99
2023-07;111.52
2023-06;119.42
2023-05;119.1
2023-04;120.15
2023-03;125.21
2023-02;123.0
2023-01;127.65
2022-12;124.93
2022-11;116.78
2022-10;111.02
2022-09;119.47
2022-08;110.31
2022-07;109.96
2022-06;120.65
2022-05;105.21
2022-04;99.47
2022-03;102.22
2022-02;92.26
2022-01;90.61
2021-12;139.76
2021-11;76.76
2021-10;96.34
2021-09;111.87
2021-08;94.05
2021-07;100.87
2021-06;93.63
2021-05;97.6
2021-04;94.63
2021-03;97.22
2021-02;94.09
2021-01;103.19
2020-12;94.33
2020-11;100.53
2020-10;101.5
2020-09;96.08
2020-08;104.84
2020-07;102.72
2020-06;100.23
2020-05;80.39
2020-04;29.6
2020-03;45.29
2020-02;96.85
2020-01;91.03
2019-12;99.63
2019-11;106.02
2019-10;83.79
2019-09;94.46
2019-08;94.01
2019-07;99.01
2019-06;97.36
2019-05;103.35
2019-04;107.03
2019-03;100.14
2019-02;108.92
2019-01;103.82
2018-12;96.22
2018-11;100.32
2018-10;102.37
2018-09;113.9
2018-08;98.17
2018-07;121.77
2018-06;103.41
2018-05;87.01
2018-04;92.35
2018-03;96.86
2018-02;93.89
2018-01;91.22
2017-12;102.85
2017-11;97.04
2017-10;102.68
2017-09;99.94
2017-08;103.72
2017-07;101.36
2017-06;102.67
2017-05;103.21
2017-04;91.29
2017-03;86.24
2017-02;81.32
2017-01;75.05
2016-12;85.45
2016-11;84.21
2016-10;77.34
2016-09;81.13
2016-08;83.18
2016-07;83.93
2016-06;87.23
2016-05;89.2
2016-04;96.66
2016-03;91.01
2016-02;96.8
2016-01;103.0
2015-12;91.06
2015-11;93.4
2015-10;94.54
2015-09;95.77
2015-08;100.26
2015-07;82.5
2015-06;86.95
2015-05;91.56
2015-04;89.16
2015-03;95.13
2015-02;98.32
2015-01;100.18
2014-12;93.07
2014-11;96.94
2014-10;96.2
2014-09;101.52
2014-08;101.02
2014-07;101.0
2014-06;102.92
2014-05;90.33
2014-04;103.96
2014-03;110.09
2014-02;111.83
2014-01;116.5
2013-12;126.66
2013-11;116.62
2013-10;123.72
2013-09;106.42
2013-08;97.47
2013-07;124.55
2013-06;125.34
2013-05;125.06
2013-04;141.45
2013-03;118.86
2013-02;115.18
2013-01;112.4
2012-12;106.89
2012-11;113.35
2012-10;129.64
2012-09;110.97
2012-08;108.01
2012-07;111.92
2012-06;118.32
2012-05;116.25
2012-04;126.0
2012-03;129.14
2012-02;124.19
2012-01;123.62
2011-12;117.41
2011-11;127.36
2011-10;124.97
2011-09;131.3
2011-08;126.28
2011-07;123.1
2011-06;114.57
2011-05;121.24
2011-04;113.87
2011-03;107.08
2011-02;89.09
2011-01;100.25
2010-12;105.06
2010-11;94.28
2010-10;94.62
2010-09;106.24
2010-08;116.59
2010-07;95.59
2010-06;91.93
2010-05;86.82
2010-04;67.07
2010-03;67.06
2010-02;76.5
2010-01;79.58
2009-12;76.04
2009-11;71.72
2009-10;70.88
2009-09;65.33
2009-08;112.92
2009-07;81.44
2009-06;82.63
2009-05;80.05
2009-04;88.99
2009-03;114.34
2009-02;145.93
2009-01;150.48
2008-12;154.91
2008-11;186.48
2008-10;165.39
2008-09;141.78
2008-08;127.32
2008-07;136.26
2008-06;143.04
2008-05;151.68
2008-04;181.88
2008-03;158.64
2008-02;147.6
2008-01;111.19
2007-12;137.69
2007-11;150.78
2007-10;139.48
2007-09;135.7
2007-08;119.81
2007-07;137.82
2007-06;139.17
2007-05;138.6
2007-04;132.31
2007-03;130.33
2007-02;125.31
2007-01;125.26
2006-12;123.45
2006-11;133.63
2006-10;131.6
2006-09;133.28
2006-08;122.26
2006-07;128.34
2006-06;121.44
2006-05;111.1
2006-04;121.73
2006-03;114.59
2006-02;120.56
2006-01;110.49
2005-12;118.28
2005-11;115.79
2005-10;119.94
2005-09;122.21
2005-08;125.39
2005-07;125.05
2005-06;125.43
2005-05;133.48
2005-04;136.74
2005-03;132.87
2005-02;129.41
2005-01;145.95
2004-12;139.21
2004-11;133.53
2004-10;137.11
2004-09;141.49
2004-08;115.17
2004-07;131.22
2004-06;137.74
2004-05;127.98
2004-04;124.26
2004-03;123.44
2004-02;130.68
2004-01;125.13
2003-12;127.74
2003-11;132.17
2003-10;131.87
2003-09;113.63
2003-08;128.72
2003-07;118.64
2003-06;118.8
2003-05;120.41
2003-04;144.35
2003-03;145.76
2003-02;136.43
2003-01;129.72
2002-12;121.91
2002-11;106.19
2002-10;110.23
2002-09;113.61
2002-08;109.39
2002-07;122.51
2002-06;119.03
2002-05;117.35
2002-04;112.58
2002-03;116.12
2002-02;110.39
2002-01;115.4
2001-12;112.74
2001-11;109.25
2001-10;108.34
2001-09;105.78
2001-08;113.44
2001-07;107.57
2001-06;110.36
2001-05;110.51
2001-04;107.25
2001-03;110.0
2001-02;105.71
2001-01;98.34
2000-12;108.38
2000-11;106.44
2000-10;106.63
2000-09;108.7
2000-08;119.23
2000-07;94.38
2000-06;112.11
2000-05;120.52
2000-04;106.67
2000-03;105.11
2000-02;99.42
2000-01;103.21
1999-12;103.37
1999-11;110.27
1999-10;119.1
1999-09;115.87
1999-08;110.56
1999-07;123.45
1999-06;114.61
1999-05;116.54
1999-04;114.08
1999-03;109.85
1999-02;116.97
1999-01;109.89
1998-12;104.99
1998-11;105.89
1998-10;99.19
1998-09;104.56
1998-08;96.72
1998-07;91.32
1998-06;89.81
1998-05;95.33
1998-04;94.17
1998-03;88.6
1998-02;116.68
1998-01;104.31
1997-12;111.08
1997-11;108.94
1997-10;117.72
1997-09;106.17
1997-08;109.78
1997-07;100.47
1997-06;96.94
1997-05;90.67
1997-04;99.66
1997-03;110.86
1997-02;99.0
1997-01;96.82
1996-12;106.31
1996-11;101.83
1996-10;102.15
1996-09;100.21
1996-08;97.13
1996-07;110.8
1996-06;108.48
1996-05;103.99
1996-04;109.38
1996-03;114.56
1996-02;116.04
1996-01;115.1
1995-12;109.63
1995-11;109.58
1995-10;99.09
1995-09;104.6
1995-08;97.95
1995-07;101.84
1995-06;110.15
1995-05;111.44
1995-04;97.3
1995-03;100.19
1995-02;92.43
1995-01;98.44
1994-12;92.65
1994-11;95.78
1994-10;88.78
1994-09;84.49
1994-08;91.27
1994-07;86.23
1994-06;79.12
1994-05;85.48
1994-04;86.72
1994-03;70.91
1994-02;81.92
1994-01;77.76
1993-12;74.15
1993-11;69.35
1993-10;77.04
1993-09;78.15
1993-08;76.16
1993-07;85.18
1993-06;78.31
1993-05;73.81
1993-04;71.08
1993-03;68.22
1993-02;67.96
1993-01;74.57
1992-12;76.39
1992-11;76.22
1992-10;84.54
1992-09;81.87
1992-08;89.91
1992-07;85.16
1992-06;84.54
